number,value,datetime_start,datetime_complete,duration,params_generations,params_has_variable_mutate_rate,params_mutation_rate,params_population_size,params_selection_size,params_use_crossover,user_attrs_mutation_operator_probabilities,state
88,11144.333333333334,2025-05-25 11:35:58.381695,2025-05-25 11:37:27.051176,0 days 00:01:28.669481,229,False,0.0670171631927208,109,29,False,"[0.07823334379426898, 0.7277063701372117, 0.16291205538882556, 0.03114823067969382]",COMPLETE
89,11090.930555555555,2025-05-25 11:37:27.052539,2025-05-25 11:54:03.654565,0 days 00:16:36.602026,776,False,0.2001969498358741,462,71,False,"[0.146144593132983, 0.7396180172010937, 0.08894540090550491, 0.025291988760418424]",COMPLETE
90,11045.888888888889,2025-05-25 11:54:03.655008,2025-05-25 13:23:33.501424,0 days 01:29:29.846416,754,False,0.894899908627783,928,27,False,"[0.36764219875361953, 0.14132065630960094, 0.1001468568825742, 0.3908902880542053]",COMPLETE
91,11089.722222222223,2025-05-25 13:23:33.501860,2025-05-25 13:32:11.816168,0 days 00:08:38.314308,762,True,0.3766363768839625,371,186,False,"[0.4183701064402782, 0.31959568658388393, 0.2239485961847042, 0.03808561079113365]",COMPLETE
92,11076.263888888889,2025-05-25 13:32:11.818211,2025-05-25 13:47:53.894379,0 days 00:15:42.076168,284,False,0.16052559628048294,529,62,False,"[0.6908974398735883, 0.009054252814272261, 0.04181694289694819, 0.2582313644151913]",COMPLETE
93,11105.222222222223,2025-05-25 13:47:53.894830,2025-05-25 13:48:51.407603,0 days 00:00:57.512773,617,True,0.7191809175266036,90,79,False,"[0.4429818403139518, 0.13447475231266423, 0.22370020985872674, 0.1988431975146572]",COMPLETE
94,11075.902777777777,2025-05-25 13:48:51.408051,2025-05-25 14:08:50.532958,0 days 00:19:59.124907,932,True,0.8766439915957713,526,141,False,"[0.1131014124720423, 0.41075015940034953, 0.44103519984905654, 0.03511322827855159]",COMPLETE
95,11063.875,2025-05-25 14:08:50.533421,2025-05-25 14:28:03.163525,0 days 00:19:12.630104,861,False,0.3364300618670876,464,206,True,"[0.3841626031581313, 0.19209680706418983, 0.26346354510555314, 0.1602770446721257]",COMPLETE
96,10958.472222222223,2025-05-25 14:28:03.164039,2025-05-25 14:53:05.764583,0 days 00:25:02.600544,967,True,0.24539970046125922,794,536,True,"[0.2549482731446519, 0.07760252379441743, 0.3550935991549653, 0.3123556039059653]",COMPLETE
97,11052.833333333334,2025-05-25 14:53:05.765050,2025-05-25 15:03:23.094348,0 days 00:10:17.329298,459,False,0.8435464916299181,499,388,True,"[0.08364489878153397, 0.3026441617493427, 0.17132045996536305, 0.4423904795037602]",COMPLETE
98,11085.847222222223,2025-05-25 15:03:23.094816,2025-05-25 15:05:03.867693,0 days 00:01:40.772877,111,True,0.07620835094517366,164,50,True,"[0.2280160263639346, 0.5907474025326829, 0.03157632081270135, 0.1496602502906813]",COMPLETE
99,11112.25,2025-05-25 15:05:03.869215,2025-05-25 15:06:12.981016,0 days 00:01:09.111801,601,True,0.9316960814496258,126,122,False,"[0.11593617449540732, 0.07208951028397963, 0.2756226745166276, 0.5363516407039856]",COMPLETE
